JÓVENES DE 16 A 29 AÑOS EN LA EPA; 4º trim 2014;Variación sobre 3º trim 2014 (Dif);Variación sobre 3º trim 2014 (%);Variación sobre 3º trim 2014 (Dato);Variación sobre 4º trim 2013 (Dif);Variación sobre 4º trim 2013 (%);Variación sobre 4º trim 2013 (Dato)
Total Población Joven;6.663.800;-28.200;-0,42;6.692.000;-158.400;-2,32;6.822.200
Tasa de jóvenes (%) s/Tot16y+años;17,3;-0,07;--;17,37;-0,4;--;17,7
Jóvenes Emancipados/as *;1.537.500;-25.500;-1,63;1.563.000;-67.100;-4,18;1.604.600
- Varones emancipados;628.700;-19.700;-3,04;648.400;-19.300;-2,98;648.000
- Mujeres emancipadas;908.800;-5.900;-0,65;914.700;-47.800;-5;956.600
Tasa de Emancipación  (%);23,07;-0,28;--;23,36;-0,45;--;23,52
- Tasa de emancipación varones (%);18,67;-0,49;--;19,16;-0,13;--;18,8
- Tasa de emancipación mujeres (%);27,58;-0,08;--;27,65;-0,77;--;28,34
Jóvenes Activos/as;3.861.600;-109.000;-2,75;3.970.600;-178.100;-4,41;4.039.700
Tasa de Actividad (%);57,95;-1,38;--;59,33;-1,26;--;59,21
- Tasa de actividad varones (%);59,66;-1,82;--;61,48;-1,26;--;60,92
- Tasa de inactividad mujeres (%);56,19;-0,94;--;57,13;-1,28;--;57,47
Jóvenes Inactivos/as;2.802.200;80.800;2,97;2.721.400;19.700;0,71;2.782.500
Tasa de Inactividad (%);42,05;1,38;--;40,67;1,26;--;40,79
- Tasa de inactividad varones (%);40,34;1,82;--;38,52;1,26;--;39,08
- Tasa de inactividad mujeres (%);43,81;0,94;--;42,87;1,28;--;42,53
Jóvenes Ocupados/as;2.366.000;-71.600;-2,94;2.437.600;6.700;0,28;2.359.300
Tasa de Empleo (%);35,51;-0,92;--;36,42;0,92;--;34,58
- Tasa de empleo varones (%);36,37;-1,31;--;37,68;1,65;--;34,72
- Tasa de empleo mujeres (%);34,62;-0,52;--;35,14;0,18;--;34,44
Jóvenes por cuenta propia;220.100;-12.000;-5,17;232.100;-5.300;-2,35;225.400
Jóvenes asalariados/as;2.144.700;-58.200;-2,64;2.202.900;12.400;0,58;2.132.300
- Con contrato indefinido;1.022.300;8.000;0,79;1.014.300;-41.700;-3,92;1.064.000
- Con contrato temporal;1.122.400;-66.300;-5,58;1.188.700;54.200;5,07;1.068.200
Tasa de temporalidad (%);52,34;-1,62;--;53,96;2,24;--;50,1
- Tasa de temporalidad varones (%);51,78;-2,33;--;54,1;2,43;--;49,35
- Tasa de temporalidad mujeres (%);52,91;-0,9;--;53,81;2,09;--;50,82
Jóvenes Parados/as;1.495.600;-37.400;-2,44;1.533.000;-184.800;-11;1.680.400
Jóvenes que buscan primer empleo;454.000;-28.700;-5,95;482.700;-19.300;-4,08;473.300
Tasa de Paro (%);38,73;0,12;--;38,61;-2,87;--;41,6
- Tasa de paro varones (%);39,04;0,32;--;38,72;-3,97;--;43,01
- Tasa de paro mujeres (%);38,39;-0,1;--;38,49;-1,68;--;40,07
Parados/as de 16 y más años;5.457.700;30.000;0,55;5.427.700;-477.900;-8,05;5.935.600
Tasa de paro de 16 y más años (%);23,7;0,03;--;23,67;-2,03;--;25,73
- Tasa paro 16y+años varones (%);22,8;0,28;--;22,53;-2,23;--;25,04
- Tasa prao 16y+años mujeres (%);24,74;-0,27;--;25,01;-1,78;--;26,53
