JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2015;Variación sobre 3º trim 2015 (Dif);Variación sobre 3º trim 2015 (%);Variación sobre 3º trim 2015 (Dato);Variación sobre 4º trim 2014 (Dif);Variación sobre 4º trim 2014 (%);Variación sobre 4º trim 2014 (Dato)
Total Población Joven;6.552.500;-31.300;-0,48;6.583.800;-111.300;-1,67;6.663.800
Tasa de jóvenes (%) s/Tot16y+años;17,02;-0,08;--;17,11;-0,27;--;17,3
Jóvenes Emancipados/as *;1.448.100;-1.500;-0,1;1.449.600;-89.400;-5,81;1.537.500
- Varones emancipados;592.600;8.200;1,4;584.400;-36.100;-5,74;628.700
- Mujeres emancipadas;855.600;-9.600;-1,11;865.200;-53.200;-5,85;908.800
Tasa de Emancipación  (%);22,1;0,08;--;22,02;-0,97;--;23,07
- Tasa de emancipación varones (%);17,87;0,33;--;17,54;-0,79;--;18,67
- Tasa de emancipación mujeres (%);26,43;-0,17;--;26,6;-1,15;--;27,58
Jóvenes Activos/as;3.660.400;-181.100;-4,71;3.841.500;-201.200;-5,21;3.861.600
Tasa de Actividad (%);55,86;-2,49;--;58,35;-2,09;--;57,95
- Tasa de actividad varones (%);57,74;-2,54;--;60,28;-1,92;--;59,66
- Tasa de inactividad mujeres (%);53,94;-2,43;--;56,37;-2,26;--;56,19
Jóvenes Inactivos/as;2.892.100;149.800;5,46;2.742.300;89.900;3,21;2.802.200
Tasa de Inactividad (%);44,14;2,49;--;41,65;2,09;--;42,05
- Tasa de inactividad varones (%);42,26;2,54;--;39,72;1,92;--;40,34
- Tasa de inactividad mujeres (%);46,06;2,43;--;43,63;2,26;--;43,81
Jóvenes Ocupados/as;2.373.700;-89.900;-3,65;2.463.600;7.700;0,33;2.366.000
Tasa de Empleo (%);36,23;-1,19;--;37,42;0,72;--;35,51
- Tasa de empleo varones (%);37,08;-1,5;--;38,58;0,71;--;36,37
- Tasa de empleo mujeres (%);35,35;-0,88;--;36,23;0,73;--;34,62
Jóvenes por cuenta propia;213.600;-2.300;-1,07;215.900;-6.500;-2,95;220.100
Jóvenes asalariados/as;2.158.400;-88.300;-3,93;2.246.700;13.700;0,64;2.144.700
- Con contrato indefinido;969.500;-4.100;-0,42;973.600;-52.800;-5,16;1.022.300
- Con contrato temporal;1.188.900;-84.200;-6,61;1.273.100;66.500;5,92;1.122.400
Tasa de temporalidad (%);55,08;-1,58;--;56,67;2,75;--;52,34
- Tasa de temporalidad varones (%);55,39;-1,27;--;56,66;3,61;--;51,78
- Tasa de temporalidad mujeres (%);54,77;-1,9;--;56,68;1,86;--;52,91
Jóvenes Parados/as;1.286.700;-91.300;-6,63;1.378.000;-208.900;-13,97;1.495.600
Jóvenes que buscan primer empleo;384.100;-88.600;-18,74;472.700;-69.900;-15,4;454.000
Tasa de Paro (%);35,15;-0,72;--;35,87;-3,58;--;38,73
- Tasa de paro varones (%);35,78;-0,22;--;36,01;-3,26;--;39,04
- Tasa de paro mujeres (%);34,46;-1,26;--;35,72;-3,93;--;38,39
Parados/as de 16 y más años;4.779.500;-71.300;-1,47;4.850.800;-678.200;-12,43;5.457.700
Tasa de paro de 16 y más años (%);20,9;-0,29;--;21,18;-2,81;--;23,7
- Tasa paro 16y+años varones (%);19,49;-0,41;--;19,9;-3,32;--;22,8
- Tasa prao 16y+años mujeres (%);22,52;-0,17;--;22,69;-2,23;--;24,74
