JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2019;Variación sobre 4º trim 2018 (Dif);Variación sobre 4º trim 2018(%);Variación sobre 4º trim 2018 (Dato);Variación sobre 1º trim 2018 (Dif);Variación sobre 1º trim 2018 (%);Variación sobre 1º trim 2018 (Dato)
Total Población Joven;6.643,90;32,5;0,49;6.611,40;103,3;1,58;6.540,60
Tasa de jóvenes (%) s/Tot16y+años;16,99;0,04;--;16,94;0,12;--;16,87
Jóvenes Emancipados/as *;1.382,80;3,3;0,24;1.379,50;0,5;0,03;1.382,40
- Varones emancipados;583,5;0,1;0,02;583,4;-6,7;-1,14;590,2
- Mujeres emancipadas;799,3;3,2;0,4;796,2;7,2;0,91;792,2
Tasa de Emancipación  (%);20,81;-0,05;--;20,87;-0,32;--;21,14
- Tasa de emancipación varones (%);17,26;-0,09;--;17,36;-0,51;--;17,78
- Tasa de emancipación mujeres (%);24,49;0;--;24,49;-0,11;--;24,6
Jóvenes Activos/as;3.537,10;-57,5;-1,6;3.594,60;17,5;0,5;3.519,60
Tasa de Actividad (%);53,24;-1,13;--;54,37;-0,57;--;53,81
- Tasa de actividad varones (%);55,47;-1,24;--;56,7;-0,21;--;55,68
- Tasa de inactividad mujeres (%);50,93;-1,03;--;51,96;-0,96;--;51,89
Jóvenes Inactivos/as;3.106,80;90;2,98;3.016,80;85,8;2,84;3.021,00
Tasa de Inactividad (%);46,76;1,13;--;45,63;0,57;--;46,19
- Tasa de inactividad varones (%);44,53;1,24;--;43,3;0,21;--;44,32
- Tasa de inactividad mujeres (%);49,07;1,03;--;48,04;0,96;--;48,11
Jóvenes Ocupados/as;2.622,10;-70;-2,6;2.692,10;90,2;3,56;2.531,90
Tasa de Empleo (%);39,47;-1,25;--;40,72;0,76;--;38,71
- Tasa de empleo varones (%);41,64;-0,92;--;42,56;1,79;--;39,85
- Tasa de empleo mujeres (%);37,22;-1,6;--;38,82;-0,32;--;37,54
Jóvenes por cuenta propia;179,2;-10,9;-5,74;190,1;-29,9;-14,31;209,2
Jóvenes asalariados/as;2.442,20;-58,4;-2,34;2.500,60;120,9;5,21;2.321,30
- Con contrato indefinido;1.119,80;7,2;0,65;1.112,60;108,3;10,71;1.011,50
- Con contrato temporal;1.322,40;-65,6;-4,72;1.388,00;12,6;0,97;1.309,80
Tasa de temporalidad (%);54,15;-1,36;--;55,51;-2,28;--;56,42
- Tasa de temporalidad varones (%);53,77;-0,75;--;54,52;-1,54;--;55,31
- Tasa de temporalidad mujeres (%);54,57;-2,02;--;56,59;-3,04;--;57,61
Jóvenes Parados/as;915;12,5;1,38;902,5;-72,8;-7,37;987,7
Jóvenes que buscan primer empleo;254,1;-9,1;-3,46;263,2;-25,1;-9;279,2
Tasa de Paro (%);25,87;0,76;--;25,11;-2,2;--;28,06
- Tasa de paro varones (%);24,93;-0,01;--;24,94;-3,51;--;28,43
- Tasa de paro mujeres (%);26,93;1,63;--;25,29;-0,73;--;27,65
Parados/as de 16 y más años;3.354,20;49,9;1,51;3.304,30;-441,9;-11,64;3.796,10
Tasa de paro de 16 y más años (%);14,7;0,25;--;14,45;-2,05;--;16,74
- Tasa paro 16y+años varones (%);12,9;0,03;--;12,87;-2,28;--;15,18
- Tasa prao 16y+años mujeres (%);16,74;0,48;--;16,26;-1,8;--;18,54
