JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2019;Variación sobre1º trim 2019 (Dif);Variación sobre 1º trim 2019(%);Variación sobre 1º trim 2019 (Dato);Variación sobre 2º trim 2018 (Dif);Variación sobre 2º trim 2018 (%);Variación sobre 2º trim 2018 (Dato)
Total Población Joven;6.675,40;31,6;0,48;6.643,90;112;1,71;6.563,40
Tasa de jóvenes (%) s/Tot16y+años;17,02;0,04;--;16,99;0,12;--;16,9
Jóvenes Emancipados/as *;1.361,10;-21,7;-1,57;1.382,80;-29,1;-2,09;1.390,30
- Varones emancipados;566,5;-17;-2,91;583,5;-23,3;-3,95;589,8
- Mujeres emancipadas;794,6;-4,7;-0,59;799,3;-5,8;-0,72;800,4
Tasa de Emancipación  (%);20,39;-0,42;--;20,81;-0,79;--;21,18
- Tasa de emancipación varones (%);16,67;-0,6;--;17,26;-1,03;--;17,7
- Tasa de emancipación mujeres (%);24,25;-0,24;--;24,49;-0,53;--;24,78
Jóvenes Activos/as;3.618,00;81;2,29;3.537,10;5,5;0,15;3.612,50
Tasa de Actividad (%);54,2;0,96;--;53,24;-0,84;--;55,04
- Tasa de actividad varones (%);56,55;1,08;--;55,47;-0,28;--;56,83
- Tasa de inactividad mujeres (%);51,76;0,83;--;50,93;-1,43;--;53,2
Jóvenes Inactivos/as;3.057,40;-49,4;-1,59;3.106,80;106,5;3,61;2.950,80
Tasa de Inactividad (%);45,8;-0,96;--;46,76;0,84;--;44,96
- Tasa de inactividad varones (%);43,45;-1,08;--;44,53;0,28;--;43,17
- Tasa de inactividad mujeres (%);48,24;-0,83;--;49,07;1,43;--;46,8
Jóvenes Ocupados/as;2.721,80;99,7;3,8;2.622,10;65;2,45;2.656,80
Tasa de Empleo (%);40,77;1,31;--;39,47;0,29;--;40,48
- Tasa de empleo varones (%);42,7;1,06;--;41,64;0,91;--;41,78
- Tasa de empleo mujeres (%);38,78;1,56;--;37,22;-0,35;--;39,13
Jóvenes por cuenta propia;186,2;7;3,89;179,2;-8,8;-4,49;195
Jóvenes asalariados/as;2.534,40;92,2;3,77;2.442,20;74,6;3,03;2.459,80
- Con contrato indefinido;1.133,80;14;1,25;1.119,80;58,5;5,44;1.075,30
- Con contrato temporal;1.400,60;78,2;5,91;1.322,40;16,1;1,16;1.384,50
Tasa de temporalidad (%);55,26;1,12;--;54,15;-1,02;--;56,28
- Tasa de temporalidad varones (%);53,85;0,08;--;53,77;-0,72;--;54,57
- Tasa de temporalidad mujeres (%);56,83;2,26;--;54,57;-1,3;--;58,13
Jóvenes Parados/as;896,2;-18,7;-2,05;915;-59,5;-6,23;955,8
Jóvenes que buscan primer empleo;266,8;12,7;5,02;254,1;-18,8;-6,58;285,6
Tasa de Paro (%);24,77;-1,1;--;25,87;-1,69;--;26,46
- Tasa de paro varones (%);24,5;-0,43;--;24,93;-1,98;--;26,48
- Tasa de paro mujeres (%);25,08;-1,85;--;26,93;-1,35;--;26,44
Parados/as de 16 y más años;3.230,60;-123,6;-3,68;3.354,20;-259,5;-7,43;3.490,10
Tasa de paro de 16 y más años (%);14,02;-0,67;--;14,7;-1,26;--;15,28
- Tasa paro 16y+años varones (%);12,49;-0,42;--;12,9;-1,23;--;13,72
- Tasa prao 16y+años mujeres (%);15,78;-0,96;--;16,74;-1,3;--;17,08
