JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2019;Variación sobre 3º trim 2019 (Dif);Variación sobre 3º trim 2019 (%);Variación sobre 3º trim 2019 (Dato);Variación sobre 4º trim 2018 (Dif);Variación sobre 4º trim 2018  (%);Variación sobre 4º trim 2018  (Dato)
Total Población Joven;6.742,00;35;0,52;6.707,10;130,7;1,98;6.611,40
Tasa de jóvenes (%) s/Tot16y+años;17,1;0,04;--;17,06;0,16;--;16,94
Jóvenes Emancipados/as *;1.391,40;10,4;0,75;1.381,00;11,9;0,86;1.379,50
- Varones emancipados;588,3;6,1;1,05;582,2;4,9;0,85;583,4
- Mujeres emancipadas;803,1;4,3;0,54;798,8;6,9;0,87;796,2
Tasa de Emancipación  (%);20,64;0,05;--;20,59;-0,23;--;20,87
- Tasa de emancipación varones (%);17,13;0,08;--;17,04;-0,23;--;17,36
- Tasa de emancipación mujeres (%);24,29;0,01;--;24,27;-0,21;--;24,49
Jóvenes Activos/as;3.638,70;-126,9;-3,37;3.765,60;44,1;1,23;3.594,60
Tasa de Actividad (%);53,97;-2,17;--;56,14;-0,4;--;54,37
- Tasa de actividad varones (%);56,51;-2,06;--;58,58;-0,19;--;56,7
- Tasa de inactividad mujeres (%);51,33;-2,29;--;53,62;-0,63;--;51,96
Jóvenes Inactivos/as;3.103,30;161,9;5,5;2.941,50;86,5;2,87;3.016,80
Tasa de Inactividad (%);46,03;2,17;--;43,86;0,4;--;45,63
- Tasa de inactividad varones (%);43,49;2,06;--;41,42;0,19;--;43,3
- Tasa de inactividad mujeres (%);48,67;2,29;--;46,38;0,63;--;48,04
Jóvenes Ocupados/as;2.772,20;-73,2;-2,57;2.845,40;80,1;2,98;2.692,10
Tasa de Empleo (%);41,12;-1,31;--;42,42;0,4;--;40,72
- Tasa de empleo varones (%);43,29;-1,42;--;44,71;0,73;--;42,56
- Tasa de empleo mujeres (%);38,86;-1,19;--;40,05;0,04;--;38,82
Jóvenes por cuenta propia;182,2;-5,9;-3,14;188,1;-8;-4,2;190,1
Jóvenes asalariados/as;2.586,10;-68,9;-2,6;2.655,00;85,5;3,42;2.500,60
- Con contrato indefinido;1.152,50;5,1;0,45;1.147,40;39,9;3,58;1.112,60
- Con contrato temporal;1.433,60;-74,1;-4,91;1.507,70;45,6;3,29;1.388,00
Tasa de temporalidad (%);55,43;-1,35;--;56,79;-0,07;--;55,51
- Tasa de temporalidad varones (%);53,63;-2,01;--;55,64;-0,89;--;54,52
- Tasa de temporalidad mujeres (%);57,44;-0,64;--;58,08;0,85;--;56,59
Jóvenes Parados/as;98;4,4;4,71;93,6;-4,9;-4,72;102,8
Jóvenes que buscan primer empleo;340,4;1,5;0,45;338,9;7,7;2,32;332,7
Tasa de Paro (%);114,8;-7,2;-5,9;122;-2,6;-2,19;117,4
- Tasa de paro varones (%);2.218,90;-71,9;-3,14;2.290,90;79,8;3,73;2.139,20
- Tasa de paro mujeres (%);744,7;54,3;7,86;690,4;51,9;7,5;692,8
Parados/as de 16 y más años;236,5;-6,4;-2,63;242,9;6,7;2,91;229,8
Tasa de paro de 16 y más años (%);866,5;-53,7;-5,84;920,2;-36;-3,99;902,5
- Tasa paro 16y+años varones (%);23,81;-0,62;--;24,44;-1,29;--;25,11
- Tasa prao 16y+años mujeres (%);23,39;-0,28;--;23,67;-1,55;--;24,94
- Tasa de paro mujeres (%);24,29;-1,01;--;25,3;-1;--;25,29
Jóvenes que buscan 1er empleo;233,4;-54,8;-19,02;288,2;-29,8;-11,32;263,2
Jóvenes buscando empleo 1 o + años;243,9;-11,3;-4,43;255,1;-36;-12,87;279,9
Jóvenes parados/as en Sector Agricultura;42,6;-3,9;-8,29;46,4;0,4;0,86;42,2
- En la Industria;43,8;1,4;3,33;42,4;0,1;0,18;43,7
- En la Construcción;25,7;3,9;17,61;21,9;6,4;33,34;19,3
- En los Servicios;369,1;-0,8;-0,22;370;-6,2;-1,66;375,4
