JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2020;Variación sobre 1º trim 2020 (Dif);Variación sobre 1º trim 2020  (%);Variación sobre 1º trim 2020  (Dato);Variación sobre 2º trim 2019 (Dif);Variación sobre 2º trim 2019  (%);Variación sobre 2º trim 2019 (Dato)
Total Población Joven;6.798,70;19,7;0,29;6.779,00;123,3;1,85;6.675,40
Tasa de jóvenes (%) s/Tot16y+años;17,18;0,03;--;17,15;0,16;--;17,02
Jóvenes Emancipados/as *;1.215,00;-155,1;-11,32;1.370,10;-146,1;-10,74;1.361,10
- Varones emancipados;508,1;-67,5;-11,73;575,6;-58,4;-10,31;566,5
- Mujeres emancipadas;706,9;-87,5;-11,02;794,4;-87,7;-11,04;794,6
Tasa de Emancipación  (%);17,87;-2,34;--;20,21;-2,52;--;20,39
- Tasa de emancipación varones (%);14,65;-2;--;16,66;-2,02;--;16,67
- Tasa de emancipación mujeres (%);21,22;-2,69;--;23,91;-3,03;--;24,25
Jóvenes Activos/as;3.257,20;-311,5;-8,73;3.568,60;-360,9;-9,97;3.618,00
Tasa de Actividad (%);47,91;-4,73;--;52,64;-6,29;--;54,2
- Tasa de actividad varones (%);50,12;-4,97;--;55,09;-6,43;--;56,55
- Tasa de inactividad mujeres (%);45,6;-4,49;--;50,1;-6,16;--;51,76
Jóvenes Inactivos/as;3.541,50;331,2;10,32;3.210,40;484,2;15,84;3.057,40
Tasa de Inactividad (%);52,09;4,73;--;47,36;6,29;--;45,8
- Tasa de inactividad varones (%);49,88;4,97;--;44,91;6,43;--;43,45
- Tasa de inactividad mujeres (%);54,4;4,49;--;49,9;6,16;--;48,24
Jóvenes Ocupados/as;2.279,80;-390,5;-14,62;2.670,30;-442;-16,24;2.721,80
Tasa de Empleo (%);33,53;-5,86;--;39,39;-7,24;--;40,77
- Tasa de empleo varones (%);35,34;-6,13;--;41,46;-7,36;--;42,7
- Tasa de empleo mujeres (%);31,66;-5,58;--;37,24;-7,12;--;38,78
Jóvenes por cuenta propia;167,2;-9,2;-5,21;176,4;-19;-10,21;186,2
Jóvenes asalariados/as;2.112,10;-380,3;-15,26;2.492,40;-422,2;-16,66;2.534,40
- Con contrato indefinido;1.077,70;-89,6;-7,67;1.167,20;-56,1;-4,95;1.133,80
- Con contrato temporal;1.034,50;-290,7;-21,94;1.325,20;-366,1;-26,14;1.400,60
Tasa de temporalidad (%);48,98;-4,19;--;53,17;-6,29;--;55,26
- Tasa de temporalidad varones (%);46,98;-4,55;--;51,53;-6,87;--;53,85
- Tasa de temporalidad mujeres (%);51,18;-3,82;--;55;-5,65;--;56,83
Jóvenes Parados/as;95,9;-3,1;-3,12;99;-11,8;-10,97;107,7
Jóvenes que buscan primer empleo;296,4;-27,9;-8,61;324,3;-44,6;-13,08;341
Tasa de Paro (%);96,2;-25,9;-21,19;122,1;-20,2;-17,36;116,4
- Tasa de paro varones (%);1.791,30;-333,6;-15,7;2.124,90;-365,3;-16,94;2.156,70
- Tasa de paro mujeres (%);524,3;-171,7;-24,67;696;-192,1;-26,82;716,4
Parados/as de 16 y más años;219,6;-15,7;-6,66;235,3;-8,1;-3,54;227,7
Tasa de paro de 16 y más años (%);977,3;79;8,79;898,3;81,1;9,05;896,2
- Tasa paro 16y+años varones (%);30,01;4,83;--;25,17;5,23;--;24,77
- Tasa prao 16y+años mujeres (%);29,5;4,76;--;24,74;5;--;24,5
- Tasa de paro mujeres (%);30,59;4,91;--;25,67;5,5;--;25,08
Jóvenes que buscan 1er empleo;192;-28,6;-12,97;220,7;-74,8;-28,03;266,8
Jóvenes buscando empleo 1 o + años;234,5;-26,8;-10,24;261,3;-26,6;-10,19;261,2
Jóvenes parados/as en Sector Agricultura;41,8;3,5;9,09;38,3;-4,2;-9,18;46,1
- En la Industria;59,9;18,2;43,72;41,7;9,7;19,33;50,2
- En la Construcción;27,8;10,7;62,1;17,2;10,5;60,32;17,4
- En los Servicios;524,8;84,6;19,23;440,1;151,3;40,51;373,5
