JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2020;Variación sobre 2º trim 2020 (Dif);Variación sobre 2º trim 2020  (%);Variación sobre 2º trim 2020 (Dato);Variación sobre 3º trim 2019 (Dif);Variación sobre 3º trim 2019 (%);Variación sobre 3º trim 2019 (Dato)
Total Población Joven;6.807,50;8,8;0,13;6.798,70;100,4;1,5;6.707,10
Tasa de jóvenes (%) s/Tot16y+años;17,19;0,01;--;17,18;0,14;--;17,06
Jóvenes Emancipados/as *;1.168,00;-47;-3,87;1.215,00;-213;-15,43;1.381,00
- Varones emancipados;466,2;-41,9;-8,25;508,1;-116,1;-19,93;582,2
- Mujeres emancipadas;701,8;-5,1;-0,72;706,9;-97;-12,14;798,8
Tasa de Emancipación  (%);17,16;-0,71;--;17,87;-3,43;--;20,59
- Tasa de emancipación varones (%);13,42;-1,23;--;14,65;-3,62;--;17,04
- Tasa de emancipación mujeres (%);21,05;-0,17;--;21,22;-3,22;--;24,27
Jóvenes Activos/as;3.617,00;359,9;11,05;3.257,20;-148,6;-3,95;3.765,60
Tasa de Actividad (%);53,13;5,22;--;47,91;-3,01;--;56,14
- Tasa de actividad varones (%);54,58;4,45;--;50,12;-4;--;58,58
- Tasa de inactividad mujeres (%);51,63;6,02;--;45,6;-1,99;--;53,62
Jóvenes Inactivos/as;3.190,50;-351,1;-9,91;3.541,50;249;8,47;2.941,50
Tasa de Inactividad (%);46,87;-5,22;--;52,09;3,01;--;43,86
- Tasa de inactividad varones (%);45,42;-4,45;--;49,88;4;--;41,42
- Tasa de inactividad mujeres (%);48,37;-6,02;--;54,4;1,99;--;46,38
Jóvenes Ocupados/as;2.480,00;200,2;8,78;2.279,80;-365,3;-12,84;2.845,40
Tasa de Empleo (%);36,43;2,9;--;33,53;-5,99;--;42,42
- Tasa de empleo varones (%);37,96;2,63;--;35,34;-6,75;--;44,71
- Tasa de empleo mujeres (%);34,84;3,18;--;31,66;-5,21;--;40,05
Jóvenes por cuenta propia;171,4;4,2;2,5;167,2;-16,7;-8,87;188,1
Jóvenes asalariados/as;2.307,80;195,7;9,26;2.112,10;-347,2;-13,08;2.655,00
- Con contrato indefinido;1.079,60;1,9;0,17;1.077,70;-67,8;-5,91;1.147,40
- Con contrato temporal;1.228,30;193,8;18,73;1.034,50;-279,4;-18,53;1.507,70
Tasa de temporalidad (%);53,22;4,24;--;48,98;-3,56;--;56,79
- Tasa de temporalidad varones (%);51;4,02;--;46,98;-4,64;--;55,64
- Tasa de temporalidad mujeres (%);55,66;4,49;--;51,18;-2,42;--;58,08
Jóvenes Parados/as;92,8;-3;-3,15;95,9;-0,7;-0,78;93,6
Jóvenes que buscan primer empleo;321,4;25;8,44;296,4;-17,5;-5,16;338,9
Tasa de Paro (%);98,3;2,1;2,19;96,2;-23,7;-19,41;122
- Tasa de paro varones (%);1.967,40;176,1;9,83;1.791,30;-323,4;-14,12;2.290,90
- Tasa de paro mujeres (%);608,6;84,3;16,09;524,3;-81,8;-11,85;690,4
Parados/as de 16 y más años;248,5;28,9;13,14;219,6;5,6;2,29;242,9
Tasa de paro de 16 y más años (%);1.137,00;159,7;16,34;977,3;216,7;23,55;920,2
- Tasa paro 16y+años varones (%);31,43;1,43;--;30,01;7;--;24,44
- Tasa prao 16y+años mujeres (%);30,44;0,94;--;29,5;6,77;--;23,67
- Tasa de paro mujeres (%);32,53;1,94;--;30,59;7,22;--;25,3
Jóvenes que buscan 1er empleo;280;87,9;45,79;192;-8,2;-2,86;288,2
Jóvenes buscando empleo 1 o + años;266,4;31,9;13,6;234,5;11,3;4,43;255,1
Jóvenes parados/as en Sector Agricultura;47,1;5,3;12,68;41,8;0,7;1,48;46,4
- En la Industria;53,3;-6,6;-11,03;59,9;10,9;25,77;42,4
- En la Construcción;23,5;-4,3;-15,44;27,8;1,7;7,63;21,9
- En los Servicios;552,4;27,7;5,27;524,8;182,5;49,32;370
