JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2021;Variación sobre 1º trim 2021 (Dif);Variación sobre 1º trim 2021 (%);Variación sobre 1º trim 2021  (Dato);Variación sobre 2º trim 2020 (Dif);Variación sobre 2º trim 2020  (%);Variación sobre 2º trim 2020 (Dato)
Total Población Joven;6.824,40;16,9;0,25;6.807,40;25,7;0,38;6.798,70
Tasa de jóvenes (%) s/Tot16y+años;17,22;0,04;--;17,18;0,03;--;17,18
Jóvenes Emancipados/as *;1.143,00;-2,5;-0,22;1.145,50;-72;-5,93;1.215,00
- Varones emancipados;487,7;12,9;2,72;474,8;-20,4;-4,01;508,1
- Mujeres emancipadas;655,3;-15,5;-2,3;670,7;-51,6;-7,3;706,9
Tasa de Emancipación  (%);16,75;-0,08;--;16,83;-1,12;--;17,87
- Tasa de emancipación varones (%);14,01;0,34;--;13,66;-0,65;--;14,65
- Tasa de emancipación mujeres (%);19,61;-0,52;--;20,13;-1,61;--;21,22
Jóvenes Activos/as;3.678,20;196,9;5,65;3.481,40;421,1;12,93;3.257,20
Tasa de Actividad (%);53,9;2,76;--;51,14;5,99;--;47,91
- Tasa de actividad varones (%);55,18;2,47;--;52,71;5,06;--;50,12
- Tasa de inactividad mujeres (%);52,56;3,06;--;49,5;6,95;--;45,6
Jóvenes Inactivos/as;3.146,10;-179,9;-5,41;3.326,10;-395,4;-11,16;3.541,50
Tasa de Inactividad (%);46,1;-2,76;--;48,86;-5,99;--;52,09
- Tasa de inactividad varones (%);44,82;-2,47;--;47,29;-5,06;--;49,88
- Tasa de inactividad mujeres (%);47,44;-3,06;--;50,5;-6,95;--;54,4
Jóvenes Ocupados/as;2.618,20;189,1;7,79;2.429,10;338,4;14,84;2.279,80
Tasa de Empleo (%);38,37;2,68;--;35,68;4,83;--;33,53
- Tasa de empleo varones (%);39,62;2,35;--;37,27;4,29;--;35,34
- Tasa de empleo mujeres (%);37,05;3,03;--;34,02;5,4;--;31,66
Jóvenes por cuenta propia;191,9;8,3;4,53;183,6;24,7;14,76;167,2
Jóvenes asalariados/as;2.423,90;182,4;8,14;2.241,60;311,8;14,76;2.112,10
- Con contrato indefinido;1.097,10;22,9;2,14;1.074,20;19,5;1,81;1.077,70
- Con contrato temporal;1.326,80;159,4;13,66;1.167,40;292,3;28,26;1.034,50
Tasa de temporalidad (%);54,74;2,66;--;52,08;5,76;--;48,98
- Tasa de temporalidad varones (%);51,08;1,79;--;49,29;4,1;--;46,98
- Tasa de temporalidad mujeres (%);58,71;3,59;--;55,12;7,53;--;51,18
Jóvenes Parados/as;115,2;8,3;7,72;106,9;19,3;20,14;95,9
Jóvenes que buscan primer empleo;300,5;1,5;0,52;298,9;4,1;1,37;296,4
Tasa de Paro (%);118,2;4;3,49;114,2;21,9;22,8;96,2
- Tasa de paro varones (%);2.084,40;175,4;9,19;1.909,00;293,1;16,36;1.791,30
- Tasa de paro mujeres (%);727,6;90,6;14,22;637,1;203,4;38,79;524,3
Parados/as de 16 y más años;262,4;11,3;4,51;251,1;42,8;19,48;219,6
Tasa de paro de 16 y más años (%);1.060,00;7,7;0,73;1.052,30;82,7;8,46;977,3
- Tasa paro 16y+años varones (%);28,82;-1,41;--;30,23;-1,19;--;30,01
- Tasa prao 16y+años mujeres (%);28,2;-1,09;--;29,28;-1,3;--;29,5
- Tasa de paro mujeres (%);29,5;-1,77;--;31,27;-1,09;--;30,59
Jóvenes que buscan 1er empleo;308,8;58,3;23,29;250,5;116,8;60,82;192
Jóvenes buscando empleo 1 o + años;371,1;9,4;2,6;361,7;136,6;58,23;234,5
Jóvenes parados/as en Sector Agricultura;42,5;-8,6;-16,77;51;0,6;1,55;41,8
- En la Industria;54,2;2,2;4,19;52;-5,8;-9,6;59,9
- En la Construcción;27;-1,5;-5,11;28,4;-0,9;-3,09;27,8
- En los Servicios;319,3;-105,8;-24,89;425;-205,5;-39,16;524,8
