JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2022;Variación sobre 4º trim 2021 (Dif);Variación sobre 4º trim 2021  (%);Variación sobre 4º trim 2021   (Dato);Variación sobre 1º trim 2021 (Dif);Variación sobre 1º trim 2021 (%);Variación sobre 1º trim 2021 (Dato)
Total Población Joven;6.861,00;23,7;0,35;6.837,30;53,6;0,79;6.807,40
Tasa de jóvenes (%) s/Tot16y+años;17,26;0,04;--;17,22;0,08;--;17,18
Jóvenes Emancipados/as *;1.176,20;1,4;0,12;1.174,80;30,7;2,68;1.145,50
- Varones emancipados;509,5;5,2;1,03;504,3;34,7;7,3;474,8
- Mujeres emancipadas;666,7;-3,8;-0,56;670,5;-4;-0,6;670,7
Tasa de Emancipación  (%);17,14;-0,04;--;17,18;0,32;--;16,83
- Tasa de emancipación varones (%);14,55;0,11;--;14,44;0,88;--;13,66
- Tasa de emancipación mujeres (%);19,85;-0,2;--;20,05;-0,28;--;20,13
Jóvenes Activos/as;3.616,50;36,1;1,01;3.580,40;135,1;3,88;3.481,40
Tasa de Actividad (%);52,71;0,34;--;52,37;1,57;--;51,14
- Tasa de actividad varones (%);54,38;0,62;--;53,75;1,67;--;52,71
- Tasa de inactividad mujeres (%);50,97;0,06;--;50,92;1,47;--;49,5
Jóvenes Inactivos/as;3.244,60;-12,4;-0,38;3.256,90;-81,5;-2,45;3.326,10
Tasa de Inactividad (%);47,29;-0,34;--;47,63;-1,57;--;48,86
- Tasa de inactividad varones (%);45,62;-0,62;--;46,25;-1,67;--;47,29
- Tasa de inactividad mujeres (%);49,03;-0,06;--;49,08;-1,47;--;50,5
Jóvenes Ocupados/as;2.773,10;37,9;1,38;2.735,20;344;14,16;2.429,10
Tasa de Empleo (%);40,42;0,41;--;40;4,74;--;35,68
- Tasa de empleo varones (%);41,5;0,66;--;40,84;4,22;--;37,27
- Tasa de empleo mujeres (%);39,29;0,16;--;39,13;5,27;--;34,02
Jóvenes por cuenta propia;172,9;-15,6;-8,27;188,4;-10,7;-5,83;183,6
Jóvenes asalariados/as;2.596,10;51;2;2.545,20;354,6;15,82;2.241,60
- Con contrato indefinido;1.252,50;116,9;10,29;1.135,60;178,3;16,6;1.074,20
- Con contrato temporal;1.343,70;-65,9;-4,67;1.409,60;176,3;15,1;1.167,40
Tasa de temporalidad (%);51,76;-3,63;--;55,38;-0,32;--;52,08
- Tasa de temporalidad varones (%);48,76;-3,57;--;52,33;-0,53;--;49,29
- Tasa de temporalidad mujeres (%);54,98;-3,63;--;58,61;-0,13;--;55,12
Jóvenes Parados/as;102,3;-8,2;-7,44;110,5;-4,6;-4,29;106,9
Jóvenes que buscan primer empleo;312;-1,1;-0,34;313;13;4,36;298,9
Tasa de Paro (%);122,3;8,8;7,8;113,4;8,1;7,08;114,2
- Tasa de paro varones (%);2.236,50;38,3;1,74;2.198,20;327,5;17,15;1.909,00
- Tasa de paro mujeres (%);742,4;46,9;6,75;695,5;105,3;16,53;637,1
Parados/as de 16 y más años;296,1;14,7;5,21;281,5;45,1;17,95;251,1
Tasa de paro de 16 y más años (%);843,4;-1,8;-0,21;845,2;-208,9;-19,85;1.052,30
- Tasa paro 16y+años varones (%);23,32;-0,28;--;23,61;-6,91;--;30,23
- Tasa prao 16y+años mujeres (%);23,69;-0,33;--;24,02;-5,6;--;29,28
- Tasa de paro mujeres (%);22,91;-0,24;--;23,15;-8,36;--;31,27
Jóvenes que buscan 1er empleo;255,9;9,1;3,68;246,8;5,4;2,15;250,5
Jóvenes buscando empleo 1 o + años;288,8;12,5;4,51;276,4;-72,9;-20,14;361,7
Jóvenes parados/as en Sector Agricultura;33,5;3;9,72;30,6;-17,5;-34,31;51
- En la Industria;45,9;0,028;0,06;45,9;-6,1;-11,74;52
- En la Construcción;19,3;0,8;4,21;18,5;-9,1;-32,05;28,4
- En los Servicios;331,4;5,1;1,56;326,3;-93,6;-22,03;425
