JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2022;Variación sobre 3º trim 2022 (Dif);Variación sobre 3º trim 2022  (%);Variación sobre 3º trim 2022   (Dato);Variación sobre 4º trim 2021 (Dif);Variación sobre 4º trim 2021  (%);Variación sobre 4º trim 2021 (Dato)
Total Población Joven;7.020,70;67,1;0,96;6.953,60;183,4;2,68;6.837,30
Tasa de jóvenes (%) s/Tot16y+años;17,49;0,09;--;17,4;0,27;--;17,22
Jóvenes Emancipados/as *;1.248,70;49,9;4,17;1.198,80;73,9;6,29;1.174,80
- Varones emancipados;548,8;20,6;3,89;528,2;44,5;8,82;504,3
- Mujeres emancipadas;700;29,4;4,38;670,6;29,5;4,4;670,5
Tasa de Emancipación  (%);17,79;0,55;--;17,24;0,6;--;17,18
- Tasa de emancipación varones (%);15,28;0,41;--;14,87;0,84;--;14,44
- Tasa de emancipación mujeres (%);20,41;0,7;--;19,72;0,36;--;20,05
Jóvenes Activos/as;3.697,30;-145,2;-3,78;3.842,60;116,9;3,27;3.580,40
Tasa de Actividad (%);52,66;-2,6;--;55,26;0,3;--;52,37
- Tasa de actividad varones (%);55,09;-2,69;--;57,78;1,34;--;53,75
- Tasa de inactividad mujeres (%);50,12;-2,5;--;52,62;-0,8;--;50,92
Jóvenes Inactivos/as;3.323,40;212,3;6,82;3.111,10;66,4;2,04;3.256,90
Tasa de Inactividad (%);47,34;2,6;--;44,74;-0,3;--;47,63
- Tasa de inactividad varones (%);44,91;2,69;--;42,22;-1,34;--;46,25
- Tasa de inactividad mujeres (%);49,88;2,5;--;47,38;0,8;--;49,08
Jóvenes Ocupados/as;2.875,10;-70,2;-2,38;2.945,30;139,9;5,11;2.735,20
Tasa de Empleo (%);40,95;-1,41;--;42,36;0,95;--;40
- Tasa de empleo varones (%);42,94;-2,51;--;45,46;2,1;--;40,84
- Tasa de empleo mujeres (%);38,87;-0,25;--;39,12;-0,26;--;39,13
Jóvenes por cuenta propia;178,2;1;0,59;177,1;-10,3;-5,45;188,4
Jóvenes asalariados/as;2.696,90;-64,7;-2,34;2.761,60;151,8;5,96;2.545,20
- Con contrato indefinido;1.647,00;128,6;8,47;1.518,50;511,4;45,03;1.135,60
- Con contrato temporal;1.049,90;-193,2;-15,54;1.243,10;-359,6;-25,51;1.409,60
Tasa de temporalidad (%);38,93;-6,09;--;45,02;-16,45;--;55,38
- Tasa de temporalidad varones (%);34,48;-8,39;--;42,87;-17,85;--;52,33
- Tasa de temporalidad mujeres (%);43,97;-3,61;--;47,58;-14,65;--;58,61
Jóvenes Parados/as;87,4;-0,9;-0,98;88,3;-23,1;-20,93;110,5
Jóvenes que buscan primer empleo;338,6;-24,7;-6,8;363,3;25,6;8,17;313
Tasa de Paro (%);115,4;-3,4;-2,89;118,9;2;1,78;113,4
- Tasa de paro varones (%);2.333,70;-41,2;-1,74;2.374,90;135,5;6,16;2.198,20
- Tasa de paro mujeres (%);756,2;104,4;16,02;651,7;60,7;8,72;695,5
Parados/as de 16 y más años;298,2;21,8;7,9;276,4;16,7;5,93;281,5
Tasa de paro de 16 y más años (%);822,2;-75;-8,36;897,2;-23;-2,72;845,2
- Tasa paro 16y+años varones (%);22,24;-1,11;--;23,35;-1,37;--;23,61
- Tasa prao 16y+años mujeres (%);22,06;0,72;--;21,34;-1,97;--;24,02
- Tasa de paro mujeres (%);22,45;-3,21;--;25,66;-0,7;--;23,15
Jóvenes que buscan 1er empleo;247,2;-66,8;-21,26;314;0,4;0,17;246,8
Jóvenes buscando empleo 1 o + años;232,8;-7,6;-3,18;240,4;-43,6;-15,77;276,4
Jóvenes parados/as en Sector Agricultura;36,5;5,4;17,3;31,1;6;19,56;30,6
- En la Industria;37,6;-1,556;-3,97;39,2;-8,2;-17,95;45,9
- En la Construcción;22,8;3;15,4;19,7;4,2;22,79;18,5
- En los Servicios;334,3;-23,8;-6,65;358,1;8;2,46;326,3
