JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2023;Variación sobre 4º trim 2022 (Dif);Variación sobre 4º trim 2022   (%);Variación sobre 4º trim 2022   (Dato);Variación sobre 1º trim 2022 (Dif);Variación sobre 1º trim 2022 (%);Variación sobre 1º trim 2022 (Dato)
Total Población Joven;7.066,00;45,3;0,65;7.020,70;205;2,99;6.861,00
Tasa de jóvenes (%) s/Tot16y+años;17,54;0,05;--;17,49;0,29;--;17,26
Jóvenes Emancipados/as *;1.281,20;32,5;2,6;1.248,70;105;8,93;1.176,20
- Varones emancipados;554,3;5,6;1,02;548,8;44,9;8,81;509,5
- Mujeres emancipadas;726,8;26,9;3,84;700;60,1;9,02;666,7
Tasa de Emancipación  (%);18,13;0,35;--;17,79;0,99;--;17,14
- Tasa de emancipación varones (%);15,3;0,02;--;15,28;0,76;--;14,55
- Tasa de emancipación mujeres (%);21,11;0,69;--;20,41;1,26;--;19,85
Jóvenes Activos/as;3.709,80;12,5;0,34;3.697,30;93,3;2,58;3.616,50
Tasa de Actividad (%);52,5;-0,16;--;52,66;-0,21;--;52,71
- Tasa de actividad varones (%);54,04;-1,06;--;55,09;-0,34;--;54,38
- Tasa de inactividad mujeres (%);50,89;0,77;--;50,12;-0,08;--;50,97
Jóvenes Inactivos/as;3.356,20;32,8;0,99;3.323,40;111,6;3,44;3.244,60
Tasa de Inactividad (%);47,5;0,16;--;47,34;0,21;--;47,29
- Tasa de inactividad varones (%);45,96;1,06;--;44,91;0,34;--;45,62
- Tasa de inactividad mujeres (%);49,11;-0,77;--;49,88;0,08;--;49,03
Jóvenes Ocupados/as;2.870,90;-4,2;-0,15;2.875,10;97,9;3,53;2.773,10
Tasa de Empleo (%);40,63;-0,32;--;40,95;0,21;--;40,42
- Tasa de empleo varones (%);42,07;-0,87;--;42,94;0,58;--;41,5
- Tasa de empleo mujeres (%);39,11;0,25;--;38,87;-0,18;--;39,29
Jóvenes por cuenta propia;178,4;0,2;0,12;178,2;5,5;3,19;172,9
Jóvenes asalariados/as;2.690,80;-6,2;-0,23;2.696,90;94,6;3,65;2.596,10
- Con contrato indefinido;1.717,70;70,7;4,29;1.647,00;465,2;37,14;1.252,50
- Con contrato temporal;973,1;-76,8;-7,32;1.049,90;-370,6;-27,58;1.343,70
Tasa de temporalidad (%);36,16;-2,77;--;38,93;-15,59;--;51,76
- Tasa de temporalidad varones (%);33,35;-1,13;--;34,48;-15,41;--;48,76
- Tasa de temporalidad mujeres (%);39,28;-4,68;--;43,97;-15,7;--;54,98
Jóvenes Parados/as;88,1;0,7;0,83;87,4;-14,2;-13,86;102,3
Jóvenes que buscan primer empleo;330;-8,6;-2,53;338,6;18;5,79;312
Tasa de Paro (%);111,5;-4;-3,42;115,4;-10,8;-8,82;122,3
- Tasa de paro varones (%);2.341,30;7,6;0,33;2.333,70;104,8;4,69;2.236,50
- Tasa de paro mujeres (%);765,3;9,2;1,21;756,2;22,9;3,09;742,4
Parados/as de 16 y más años;304;5,8;1,95;298,2;7,9;2,65;296,1
Tasa de paro de 16 y más años (%);838,9;16,6;2,02;822,2;-4,5;-0,54;843,4
- Tasa paro 16y+años varones (%);22,61;0,37;--;22,24;-0,71;--;23,32
- Tasa prao 16y+años mujeres (%);22,14;0,09;--;22,06;-1,55;--;23,69
- Tasa de paro mujeres (%);23,14;0,69;--;22,45;0,23;--;22,91
Jóvenes que buscan 1er empleo;236,9;-10,3;-4,17;247,2;-19;-7,41;255,9
Jóvenes buscando empleo 1 o + años;242,5;9,7;4,17;232,8;-46,3;-16,04;288,8
Jóvenes parados/as en Sector Agricultura;29,4;-7,1;-19,49;36,5;-4,1;-12,27;33,5
- En la Industria;33;-4,635;-12,32;37,6;-12,9;-28,1;45,9
- En la Construcción;23,9;1,2;5,19;22,8;4,6;23,95;19,3
- En los Servicios;388,5;54,2;16,22;334,3;57,2;17,25;331,4
