JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2024;Variación sobre 1º trim 2023 (Dif);Variación sobre 1º trim 2023 (%);Variación sobre 1º trim 2023 (Dato);Variación sobre 2º trim 2022 (Dif);Variación sobre 2º trim 2022 (%);Variación sobre 2º trim 2022(Dato)
Total Población Joven;7.088,70;22,7;0,32;7.066,00;194,7;2,82;6.894,00
Tasa de jóvenes (%) s/Tot16y+años;17,55;0;--;17,54;0,24;--;17,31
Jóvenes Emancipados/as *;1.298,00;16,8;1,31;1.281,20;63,1;5,11;1.234,90
- Varones emancipados;564,9;10,6;1,91;554,3;19,8;3,63;545,1
- Mujeres emancipadas;733,1;6,2;0,85;726,8;43,3;6,28;689,8
Tasa de Emancipación  (%);18,31;0,18;--;18,13;0,4;--;17,91
- Tasa de emancipación varones (%);15,56;0,26;--;15,3;0,13;--;15,44
- Tasa de emancipación mujeres (%);21,19;0,09;--;21,11;0,68;--;20,51
Jóvenes Activos/as;3.842,10;132,3;3,57;3.709,80;101,9;2,73;3.740,20
Tasa de Actividad (%);54,2;1,7;--;52,5;-0,05;--;54,25
- Tasa de actividad varones (%);56,45;2,42;--;54,04;0,48;--;55,97
- Tasa de inactividad mujeres (%);51,84;0,95;--;50,89;-0,61;--;52,45
Jóvenes Inactivos/as;3.246,60;-109,7;-3,27;3.356,20;92,7;2,94;3.153,80
Tasa de Inactividad (%);45,8;-1,7;--;47,5;0,05;--;45,75
- Tasa de inactividad varones (%);43,55;-2,42;--;45,96;-0,48;--;44,03
- Tasa de inactividad mujeres (%);48,16;-0,95;--;49,11;0,61;--;47,55
Jóvenes Ocupados/as;3.070,00;199;6,93;2.870,90;97,9;3,29;2.972,00
Tasa de Empleo (%);43,31;2,68;--;40,63;0,2;--;43,11
- Tasa de empleo varones (%);44,89;2,82;--;42,07;0,07;--;44,82
- Tasa de empleo mujeres (%);41,65;2,54;--;39,11;0,33;--;41,32
Jóvenes por cuenta propia;195,8;17,5;9,79;178,4;17,4;9,75;178,4
Jóvenes asalariados/as;2.874,10;183,3;6,81;2.690,80;82,7;2,96;2.791,40
- Con contrato indefinido;1.826,50;108,8;6,34;1.717,70;352,2;23,89;1.474,40
- Con contrato temporal;1.047,60;74,5;7,66;973,1;-269,4;-20,46;1.317,00
Tasa de temporalidad (%);36,45;0,29;--;36,16;-10,73;--;47,18
- Tasa de temporalidad varones (%);34,36;1,01;--;33,35;-10,35;--;44,71
- Tasa de temporalidad mujeres (%);38,77;-0,52;--;39,28;-11,16;--;49,93
Jóvenes Parados/as;99,5;11,3;12,85;88,1;-3,9;-3,8;103,4
Jóvenes que buscan primer empleo;336,5;6,5;1,97;330;-10,4;-2,99;346,9
Tasa de Paro (%);121,7;10,2;9,15;111,5;-10;-7,62;131,7
- Tasa de paro varones (%);2.512,30;171;7,3;2.341,30;122,3;5,12;2.390,00
- Tasa de paro mujeres (%);780,5;15,2;1,99;765,3;-9,6;-1,21;790,1
Parados/as de 16 y más años;303,4;-0,6;-0,19;304;0,9;0,31;302,5
Tasa de paro de 16 y más años (%);772,2;-66,7;-7,95;838,9;4;0,52;768,2
- Tasa paro 16y+años varones (%);20,1;-2,51;--;22,61;-0,44;--;20,54
- Tasa prao 16y+años mujeres (%);20,49;-1,65;--;22,14;0,56;--;19,93
- Tasa de paro mujeres (%);19,65;-3,49;--;23,14;-1,57;--;21,22
Jóvenes que buscan 1er empleo;232,5;-4,4;-1,84;236,9;-20,2;-7,98;252,7
Jóvenes buscando empleo 1 o + años;184,3;-58,2;-23,99;242,5;-48,3;-20,77;232,6
Jóvenes parados/as en Sector Agricultura;28,7;-0,7;-2,4;29,4;-7;-19,57;35,7
- En la Industria;44,8;11,779;35,71;33;10,2;29,47;34,6
- En la Construcción;24;0,1;0,41;23,9;2;8,94;22,1
- En los Servicios;311;-77,5;-19,96;388,5;24,5;8,55;286,5
