JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2023;Variación sobre 3º trim 2023 (Dif);Variación sobre 3º trim 2023  (%);Variación sobre 3º trim 2023  (Dato);Variación sobre 4º trim 2022 (Dif);Variación sobre 4º trim 2022(%);Variación sobre 4º trim 2022 (Dato)
Total Población Joven;7.257,00;93,1;1,3;7.164,00;236,3;3,37;7.020,70
Tasa de jóvenes (%) s/Tot16y+años;17,78;0,13;--;17,65;0,29;--;17,49
Jóvenes Emancipados/as *;1.359,20;54,6;4,18;1.304,70;110,5;8,85;1.248,70
- Varones emancipados;602,5;38;6,74;564,5;53,7;9,79;548,8
- Mujeres emancipadas;756,7;16,5;2,23;740,2;56,8;8,11;700
Tasa de Emancipación  (%);18,73;0,52;--;18,21;0,94;--;17,79
- Tasa de emancipación varones (%);16,19;0,77;--;15,42;0,92;--;15,28
- Tasa de emancipación mujeres (%);21,4;0,27;--;21,13;0,98;--;20,41
Jóvenes Activos/as;3.906,00;-128,9;-3,19;4.034,90;208,7;5,64;3.697,30
Tasa de Actividad (%);53,82;-2,5;--;56,32;1,16;--;52,66
- Tasa de actividad varones (%);55,77;-2,7;--;58,47;0,68;--;55,09
- Tasa de inactividad mujeres (%);51,77;-2,31;--;54,08;1,65;--;50,12
Jóvenes Inactivos/as;3.351,00;221,9;7,09;3.129,10;27,7;0,83;3.323,40
Tasa de Inactividad (%);46,18;2,5;--;43,68;-1,16;--;47,34
- Tasa de inactividad varones (%);44,23;2,7;--;41,53;-0,68;--;44,91
- Tasa de inactividad mujeres (%);48,23;2,31;--;45,92;-1,65;--;49,88
Jóvenes Ocupados/as;3.079,40;-99,1;-3,12;3.178,60;204,3;7,11;2.875,10
Tasa de Empleo (%);42,43;-1,93;--;44,37;1,48;--;40,95
- Tasa de empleo varones (%);43,96;-2,36;--;46,32;1,02;--;42,94
- Tasa de empleo mujeres (%);40,83;-1,5;--;42,33;1,96;--;38,87
Jóvenes por cuenta propia;191,8;0;0,02;191,8;13,7;7,67;178,2
Jóvenes asalariados/as;2.886,90;-99;-3,32;2.985,90;190;7,04;2.696,90
- Con contrato indefinido;1.884,50;7,8;0,41;1.876,70;237,5;14,42;1.647,00
- Con contrato temporal;1.002,40;-106,8;-9,63;1.109,20;-47,5;-4,52;1.049,90
Tasa de temporalidad (%);34,72;-2,42;--;37,15;-4,21;--;38,93
- Tasa de temporalidad varones (%);32,05;-3,29;--;35,35;-2,42;--;34,48
- Tasa de temporalidad mujeres (%);37,7;-1,46;--;39,16;-6,27;--;43,97
Jóvenes Parados/as;85,6;11,2;15,05;74,4;-1,8;-2,03;87,4
Jóvenes que buscan primer empleo;352,4;-5,7;-1,59;358,1;13,8;4,06;338,6
Tasa de Paro (%);134;12,2;10,02;121,8;18,6;16,07;115,4
- Tasa de paro varones (%);2.507,50;-116,8;-4,45;2.624,30;173,8;7,45;2.333,70
- Tasa de paro mujeres (%);813,3;98,3;13,74;715,1;57,2;7,56;756,2
Parados/as de 16 y más años;285,6;-9,7;-3,29;295,3;-12,6;-4,23;298,2
Tasa de paro de 16 y más años (%);826,6;-29,7;-3,47;856,3;4,3;0,53;822,2
- Tasa paro 16y+años varones (%);21,16;-0,06;--;21,22;-1,08;--;22,24
- Tasa prao 16y+años mujeres (%);21,18;0,41;--;20,77;-0,88;--;22,06
- Tasa de paro mujeres (%);21,14;-0,59;--;21,73;-1,31;--;22,45
Jóvenes que buscan 1er empleo;229,9;-35,4;-13,34;265,3;-17,3;-7,01;247,2
Jóvenes buscando empleo 1 o + años;212,2;13,5;6,81;198,6;-20,6;-8,86;232,8
Jóvenes parados/as en Sector Agricultura;31,5;-1,8;-5,53;33,4;-5;-13,68;36,5
- En la Industria;23,7;-19,475;-45,09;43,2;-13,9;-36,96;37,6
- En la Construcción;16,8;5,2;45,06;11,6;-6;-26,16;22,8
- En los Servicios;380;29,9;8,53;350,1;45,7;13,65;334,3
