CIUDADES;2020;2021;2022;2023;Var.2022/2023(%)
Madrid;21,233;15,788;14,906;19,406;30,2
Barcelona;23,446;15,211;13,001;14,531;11,8
Valencia;7,946;6,206;5,885;7,609;29,3
Málaga;6,986;5,749;6,008;7,545;23,9
Sevilla;7,679;5,899;6,002;7,247;20,3
Alicante;3,883;3,272;3,043;3,442;13,1
Granada;3,293;2,447;2,708;3,253;20,1
Las Palmas G. C.;2,866;2,142;2,493;2,937;17,8
Palma de Mallorca;2,109;1,816;1,904;2,249;18,1
Córdoba;1,855;1,35;1,517;1,939;27,8
San Sebastián;1,561;1,396;1,363;1,574;15,5
Bilbao ;1,193;980;1,006;1,465;45,6
Santander;878;839;888;1,292;45,5
Gijón;848;775;858;1,181;37,6
Murcia;815;762;747;980;31,2
Zaragoza;902;701;715;926;29,5
Ibiza;769;704;623;920;47,7
Salamanca;930;717;713;816;14,4
Toledo;641;529;554;729;31,6
S. de Compostela;775;636;607;639;5,3
TOTAL;90,608;67,919;65,641;80,680;22,9
