"Año";"Periodo";"Preocupación por el paro"
"1985";"Mayo";"94,4"
"1985";"Octubre";"93,1"
"1986";"Septiembre";"94,1"
"1986";"Diciembre";"92"
"1988";"Junio";"91"
"1993";"Septiembre";"89,6"
"1994";"Septiembre";"80"
"1994";"Diciembre";"82,6"
"1995";"Enero";"84,9"
"1995";"Febrero";"76,6"
"1995";"Abril";"79,9"
"1995";"Septiembre";"76,3"
"1995";"Noviembre";"77,6"
"1996";"Febrero";"86"
"1996";"Marzo";"78,7"
"1996";"Noviembre";"83,1"
"1997";"Marzo";"81,3"
"1997";"Abril";"87,6"
"1997";"Octubre";"85,3"
"1998";"Julio";"81"
"1999";"Marzo";"75,9"
"2000";"Septiembre";"59,8"
"2000";"Octubre";"56,9"
"2000";"Noviembre";"63,1"
"2000";"Diciembre";"59,9"
"2001";"Enero";"56"
"2001";"Febrero";"63,3"
"2001";"Marzo";"57,1"
"2001";"Abril";"63,4"
"2001";"Mayo";"59,5"
"2001";"Junio";"59,6"
"2001";"Julio";"59,4"
"2001";"Septiembre";"61"
"2001";"Noviembre";"57,6"
"2001";"Diciembre";"62,9"
"2002";"Enero";"61,9"
"2002";"Febrero";"58,7"
"2002";"Marzo";"60,6"
"2002";"Abril";"65,7"
"2002";"Mayo";"65,3"
"2002";"Junio";"63,1"
"2002";"Julio";"63"
"2002";"Septiembre";"60,2"
"2002";"Octubre";"58,7"
"2002";"Noviembre";"64,3"
"2002";"Diciembre";"61,1"
"2003";"Enero";"58,8"
"2003";"Febrero";"60"
"2003";"Marzo";"56,8"
"2003";"Abril";"63,4"
"2003";"Mayo";"63,6"
"2003";"Junio";"56,5"
"2003";"Julio";"61,2"
"2003";"Septiembre";"58,4"
"2003";"Octubre";"57,8"
"2003";"Noviembre";"60,2"
"2003";"Diciembre";"57,9"
"2004";"Enero";"60,4"
"2004";"Febrero";"61"
"2004";"Marzo";"51,7"
"2004";"Abril";"56,8"
"2004";"Mayo";"59"
"2004";"Junio";"59,3"
"2004";"Julio";"56,9"
"2004";"Septiembre";"58,3"
"2004";"Octubre";"57,1"
"2004";"Noviembre";"57,3"
"2004";"Diciembre";"53,9"
"2005";"Enero";"58,2"
"2005";"Febrero";"56,8"
"2005";"Marzo";"57,7"
