"Año";"Periodo";"Problemas de índole económica"
"1985";"Mayo";"28"
"1985";"Octubre";"27,3"
"1986";"Septiembre";"23,1"
"1986";"Diciembre";"19,8"
"1988";"Junio";"10,1"
"1993";"Septiembre";"35,8"
"1994";"Septiembre";"24,6"
"1994";"Diciembre";"24,3"
"1995";"Enero";"26,5"
"1995";"Febrero";"29,6"
"1995";"Abril";"23,3"
"1995";"Septiembre";"20,8"
"1995";"Noviembre";"17,5"
"1996";"Febrero";"11,7"
"1996";"Marzo";"20,5"
"1996";"Noviembre";"13,1"
"1997";"Marzo";"11,1"
"1997";"Abril";"10,8"
"1997";"Octubre";"12,8"
"1998";"Julio";"9,6"
"1999";"Marzo";"8,7"
"2000";"Septiembre";"14,2"
"2000";"Octubre";"15,1"
"2000";"Noviembre";"12,9"
"2000";"Diciembre";"11,7"
"2001";"Enero";"8,2"
"2001";"Febrero";"6,4"
"2001";"Marzo";"5,5"
"2001";"Abril";"9,2"
"2001";"Mayo";"7,6"
"2001";"Junio";"9"
"2001";"Julio";"9,5"
"2001";"Septiembre";"10,3"
"2001";"Noviembre";"11,8"
"2001";"Diciembre";"10,5"
"2002";"Enero";"10"
"2002";"Febrero";"8,5"
"2002";"Marzo";"7,6"
"2002";"Abril";"8,7"
"2002";"Mayo";"8,5"
"2002";"Junio";"9,2"
"2002";"Julio";"8,8"
"2002";"Septiembre";"9,4"
"2002";"Octubre";"10,4"
"2002";"Noviembre";"12,8"
"2002";"Diciembre";"10,9"
"2003";"Enero";"11"
"2003";"Febrero";"9,2"
"2003";"Marzo";"9,7"
"2003";"Abril";"11,1"
"2003";"Mayo";"8,4"
"2003";"Junio";"9,9"
"2003";"Julio";"10,5"
"2003";"Septiembre";"10,7"
"2003";"Octubre";"12,7"
"2003";"Noviembre";"13,1"
"2003";"Diciembre";"11,7"
"2004";"Enero";"12,5"
"2004";"Febrero";"10,6"
"2004";"Marzo";"7,9"
"2004";"Abril";"9,9"
"2004";"Mayo";"11,9"
"2004";"Junio";"11,1"
"2004";"Julio";"12,1"
"2004";"Septiembre";"11,5"
"2004";"Octubre";"14,3"
"2004";"Noviembre";"12"
"2004";"Diciembre";"11,2"
"2005";"Enero";"11,3"
"2005";"Febrero";"9,9"
"2005";"Marzo";"11,7"
"2005";"Abril";"15,4"
"2005";"Mayo";"17,3"
"2005";"Junio";"17,4"
"2005";"Julio";"17,6"
"2005";"Septiembre";"16,4"
"2005";"Octubre";"21,5"
"2005";"Noviembre";"17,1"
"2005";"Diciembre";"16,7"
"2006";"Enero";"17,2"
"2006";"Febrero";"15"
"2006";"Marzo";"16"
"2006";"Abril";"19,7"
"2006";"Mayo";"17,3"
"2006";"Junio";"19,4"
"2006";"Julio";"19"
"2006";"Septiembre";"15,6"
"2006";"Octubre";"17,1"
"2006";"Noviembre";"15,6"
"2006";"Diciembre";"15,5"
"2007";"Enero";"18,3"
"2007";"Febrero";"15,7"
"2007";"Marzo";"15,7"
"2007";"Abril";"18"
"2007";"Mayo";"15,5"
"2007";"Junio";"15,5"
"2007";"Julio";"16,5"
"2007";"Septiembre";"21,8"
"2007";"Octubre";"24,5"
"2007";"Noviembre";"29,4"
"2007";"Diciembre";"32,9"
"2008";"Enero";"39,2"
"2008";"Febrero";"36,4"
"2008";"Marzo";"39,4"
"2008";"Abril";"48,4"
"2008";"Mayo";"51,9"
"2008";"Junio";"58,3"
"2008";"Julio";"59,9"
"2008";"Septiembre";"54,2"
"2008";"Octubre";"54,7"
"2008";"Noviembre";"57,9"
"2008";"Diciembre";"54,5"
"2009";"Enero";"51,9"
"2009";"Febrero";"54,4"
"2009";"Marzo";"52"
"2009";"Abril";"54,1"
"2009";"Mayo";"48,7"
"2009";"Junio";"48,3"
"2009";"Julio";"48,5"
"2009";"Septiembre";"48,4"
"2009";"Octubre";"46,8"
"2009";"Noviembre";"45,9"
"2009";"Diciembre";"47"
"2010";"Enero";"47"
"2010";"Febrero";"47,8"
"2010";"Marzo";"45,3"
"2010";"Abril";"46,8"
"2010";"Mayo";"50,9"
"2010";"Junio";"53"
"2010";"Julio";"51,3"
"2010";"Septiembre";"48,2"
"2010";"Octubre";"47,8"
"2010";"Noviembre";"47,9"
"2010";"Diciembre";"52"
"2011";"Enero";"53,1"
"2011";"Febrero";"51,6"
"2011";"Marzo";"51,3"
"2011";"Abril";"47,3"
"2011";"Mayo";"46,6"
"2011";"Junio";"47"
"2011";"Julio";"49,6"
"2011";"Septiembre";"49,6"
"2011";"Octubre";"51,3"
"2011";"Noviembre";"48,2"
"2011";"Diciembre";"50,4"
"2012";"Enero";"53,7"
"2012";"Febrero";"52,3"
"2012";"Marzo";"49,2"
"2012";"Abril";"52,8"
"2012";"Mayo";"51"
"2012";"Junio";"46,3"
"2012";"Julio";"46,5"
"2012";"Septiembre";"49,4"
"2012";"Octubre";"43,4"
"2012";"Noviembre";"42,7"
"2012";"Diciembre";"39,5"
"2013";"Enero";"38,9"
"2013";"Febrero";"35,4"
"2013";"Marzo";"34,4"
"2013";"Abril";"35,5"
"2013";"Mayo";"34,9"
"2013";"Junio";"32,2"
"2013";"Julio";"32"
"2013";"Septiembre";"32,5"
"2013";"Octubre";"32,7"
"2013";"Noviembre";"31,1"
"2013";"Diciembre";"29,7"
"2014";"Enero";"30,5"
"2014";"Febrero";"28,3"
"2014";"Marzo";"28,2"
"2014";"Abril";"28"
"2014";"Mayo";"28,6"
"2014";"Junio";"28,4"
"2014";"Julio";"28"
"2014";"Septiembre";"28,8"
"2014";"Octubre";"27"
"2014";"Noviembre";"25,5"
"2014";"Diciembre";"24,9"
"2015";"Enero";"24,5"
"2015";"Febrero";"24,9"
"2015";"Marzo";"24,9"
"2015";"Abril";"26,9"
"2015";"Mayo";"25,1"
"2015";"Junio";"25,4"
"2015";"Julio";"25"
"2015";"Septiembre";"25,3"
"2015";"Octubre";"24,7"
"2015";"Noviembre";"24"
"2015";"Diciembre";"24,4"
"2016";"Enero";"23,2"
"2016";"Febrero";"25,1"
"2016";"Marzo";"25,6"
"2016";"Abril";"25,1"
"2016";"Mayo";"23,6"
"2016";"Junio";"25,1"
"2016";"Julio";"22,8"
"2016";"Septiembre";"23,7"
"2016";"Octubre";"24,2"
"2016";"Noviembre";"23,9"
"2016";"Diciembre";"24,7"
"2017";"Enero";"25,2"
"2017";"Febrero";"27"
"2017";"Marzo";"22"
"2017";"Abril";"21,2"
"2017";"Mayo";"21,1"
"2017";"Junio";"21,7"
"2017";"Julio";"19,8"
"2017";"Septiembre";"21,7"
"2017";"Octubre";"21,9"
"2017";"Noviembre";"23,4"
"2017";"Diciembre";"22,9"
"2018";"Enero";"23"
"2018";"Febrero";"21,8"
"2018";"Marzo";"19,7"
"2018";"Abril";"21"
"2018";"Mayo";"20,6"
"2018";"Junio";"21,9"
"2018";"Julio";"19,2"
"2018";"Septiembre";"24,8"
"2018";"Octubre";"21"
"2018";"Noviembre";"22,4"
"2019";"Enero";"21,1"
"2019";"Febrero";"22,3"
"2019";"Marzo";"25"
"2019";"Abril";"28,3"
"2019";"Mayo";"25,8"
"2019";"Junio";"25,4"
"2019";"Julio";"25,7"
"2019";"Septiembre";"25,3"
"2019";"Octubre";"29,1"
"2019";"Noviembre";"30,4"
"2019";"Diciembre";"30,5"
"2020";"Enero";"27"
"2020";"Febrero";"30,1"
"2020";"Marzo";"28,7"
"2020";"Abril";"39,1"
"2020";"Mayo";"38,9"
"2020";"Junio";"35,1"
"2020";"Julio";"29,3"
"2020";"Septiembre";"29,7"
"2020";"Octubre";"39,6"
"2020";"Noviembre";"42,7"
"2020";"Diciembre";"42,6"
"2021";"Enero";"45,5"
"2021";"Febrero";"45"
"2021";"Marzo";"43,8"
"2021";"Abril";"48"
"2021";"Mayo";"46,3"
"2021";"Junio";"39,3"
"2021";"Julio";"40,2"
"2021";"Septiembre";"35,1"
"2021";"Octubre";"34,4"
"2021";"Noviembre";"35,4"
"2021";"Diciembre";"34,7"
"2022";"Enero";"34,5"
"2022";"Febrero";"33,3"
"2022";"Marzo";"49,6"
"2022";"Abril";"47,1"
"2022";"Mayo";"39,8"
"2022";"Junio";"45"
"2022";"Julio";"52,5"
"2022";"Septiembre";"39,7"
"2022";"Octubre";"44,1"
"2022";"Noviembre";"34,1"
"2022";"Diciembre";"39,3"
"2023";"Enero";"45,2"
"2023";"Febrero";"43,7"
"2023";"Marzo";"43,7"
"2023";"Abril";"43,5"
"2023";"Mayo";"39,3"
"2023";"Junio";"33,7"
"2023";"Julio";"36,6"
"2023";"Septiembre";"35,5"
"2023";"Octubre";"37,3"
"2023";"Noviembre";"22,8"
"2024";"Enero";"37,3"
;;
;;
"Métrica":"Problemas de índole económica"
"Fuente":"CIS"
"Clasificación":""
"Unidad":"Porcentaje de respuestas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-preocupacion-problemas-indole-economica/6a59fd20-619b-4e5e-a5e6-72ad6ebd391e"
"Titulo":"Evolución de la preocupación por problemas de índole económica"
"Subtitulo":""
