Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
feb-24;18,7 €/m2;2,30%;5,20%;15,50%
ene-24;18,3 €/m2;1,80%;2,70%;14,10%
dic-23;17,9 €/m2;1,00%;1,60%;13,60%
nov-23;17,7 €/m2;-0,20%;1,90%;12,40%
oct-23;17,8 €/m2;0,80%;4,20%;11,60%
sep-23;17,7 €/m2;1,30%;5,10%;10,70%
ago-23;17,4 €/m2;2,10%;5,00%;10,90%
jul-23;17,1 €/m2;1,60%;4,10%;10,10%
jun-23;16,8 €/m2;1,20%;3,70%;10,20%
may-23;16,6 €/m2;1,20%;2,60%;11,00%
abr-23;16,4 €/m2;1,20%;2,50%;10,30%
mar-23;16,2 €/m2;0,20%;2,70%;10,40%
feb-23;16,2 €/m2;1,10%;2,50%;11,20%
ene-23;16,0 €/m2;1,30%;0,40%;11,00%
dic-22;15,8 €/m2;0,00%;-1,00%;10,80%
nov-22;15,8 €/m2;-0,90%;0,50%;9,90%
oct-22;15,9 €/m2;-0,10%;2,80%;10,20%
sep-22;15,9 €/m2;1,50%;4,60%;10,20%
ago-22;15,7 €/m2;1,40%;5,10%;9,20%
jul-22;15,5 €/m2;1,70%;4,30%;8,20%
jun-22;15,2 €/m2;2,00%;3,90%;6,50%
may-22;15,0 €/m2;0,60%;2,80%;4,70%
abr-22;14,9 €/m2;1,30%;3,20%;3,70%
mar-22;14,7 €/m2;0,90%;3,00%;1,90%
feb-22;14,5 €/m2;0,90%;1,20%;1,00%
ene-22;14,4 €/m2;1,10%;-0,40%;-0,40%
dic-21;14,3 €/m2;-0,80%;-1,50%;-3,20%
nov-21;14,4 €/m2;-0,70%;-0,10%;-4,30%
oct-21;14,5 €/m2;0,00%;0,90%;-6,10%
sep-21;14,5 €/m2;0,60%;1,10%;-7,60%
ago-21;14,4 €/m2;0,30%;0,70%;-9,00%
jul-21;14,3 €/m2;0,20%;0,00%;-10,30%
jun-21;14,3 €/m2;0,20%;-0,70%;-12,00%
may-21;14,3 €/m2;-0,40%;-0,80%;-12,40%
abr-21;14,3 €/m2;-0,50%;-0,90%;-9,80%
mar-21;14,4 €/m2;0,00%;-2,20%;-8,20%
feb-21;14,4 €/m2;-0,40%;-4,10%;-7,70%
ene-21;14,5 €/m2;-1,80%;-6,10%;-6,70%
dic-20;14,7 €/m2;-1,90%;-5,90%;-5,40%
nov-20;15,0 €/m2;-2,50%;-5,00%;-4,50%
oct-20;15,4 €/m2;-1,60%;-3,70%;-3,10%
sep-20;15,7 €/m2;-1,00%;-3,70%;-1,50%
ago-20;15,8 €/m2;-1,10%;-3,00%;0,50%
jul-20;16,0 €/m2;-1,60%;0,60%;2,40%
jun-20;16,3 €/m2;-0,30%;3,60%;4,20%
may-20;16,3 €/m2;2,50%;4,50%;4,80%
abr-20;15,9 €/m2;1,30%;2,60%;2,40%
mar-20;15,7 €/m2;0,60%;0,90%;1,50%
feb-20;15,6 €/m2;0,70%;-0,80%;1,30%
ene-20;15,5 €/m2;-0,40%;-2,50%;1,40%
dic-19;15,6 €/m2;-1,10%;-2,10%;1,90%
nov-19;15,7 €/m2;-1,10%;0,00%;2,30%
oct-19;15,9 €/m2;0,00%;1,90%;2,90%
sep-19;15,9 €/m2;1,10%;1,90%;3,50%
ago-19;15,7 €/m2;0,70%;1,10%;3,30%
jul-19;15,6 €/m2;0,10%;0,50%;3,50%
jun-19;15,6 €/m2;0,30%;0,80%;3,90%
may-19;15,5 €/m2;0,10%;0,90%;4,50%
abr-19;15,5 €/m2;0,40%;1,60%;4,40%
mar-19;15,5 €/m2;0,40%;1,30%;5,60%
feb-19;15,4 €/m2;0,80%;0,20%;6,50%
ene-19;15,3 €/m2;0,00%;-1,10%;6,80%
dic-18;15,3 €/m2;-0,60%;-0,50%;7,90%
nov-18;15,4 €/m2;-0,50%;1,00%;8,30%
oct-18;15,5 €/m2;0,70%;2,50%;9,10%
sep-18;15,3 €/m2;0,80%;2,20%;8,30%
ago-18;15,2 €/m2;0,90%;2,30%;9,30%
jul-18;15,1 €/m2;0,40%;1,30%;9,40%
jun-18;15,0 €/m2;0,90%;2,50%;10,60%
may-18;14,9 €/m2;0,00%;2,80%;10,10%
abr-18;14,9 €/m2;1,60%;4,00%;10,60%
mar-18;14,6 €/m2;1,20%;3,50%;9,50%
feb-18;14,5 €/m2;1,10%;2,00%;7,10%
ene-18;14,3 €/m2;1,10%;1,10%;7,50%
dic-17;14,2 €/m2;-0,20%;-0,10%;7,20%
nov-17;14,2 €/m2;0,20%;1,90%;9,30%
oct-17;14,2 €/m2;-0,10%;2,80%;8,70%
sep-17;14,2 €/m2;1,80%;4,30%;9,80%
ago-17;13,9 €/m2;1,10%;3,00%;9,10%
jul-17;13,8 €/m2;1,50%;2,40%;8,80%
jun-17;13,6 €/m2;0,50%;1,50%;8,60%
may-17;13,5 €/m2;0,50%;0,00%;9,00%
abr-17;13,5 €/m2;0,50%;1,00%;8,50%
mar-17;13,4 €/m2;-1,00%;1,40%;9,60%
feb-17;13,5 €/m2;1,50%;4,10%;11,30%
ene-17;13,3 €/m2;0,80%;2,20%;10,10%
dic-16;13,2 €/m2;1,70%;2,30%;10,10%
nov-16;13,0 €/m2;-0,30%;1,70%;7,60%
oct-16;13,0 €/m2;0,90%;2,80%;7,90%
sep-16;12,9 €/m2;1,20%;3,20%;7,30%
ago-16;12,8 €/m2;0,80%;2,90%;7,00%
jul-16;12,7 €/m2;1,30%;2,10%;7,20%
jun-16;12,5 €/m2;0,80%;2,30%;6,50%
may-16;12,4 €/m2;0,00%;2,10%;6,20%
abr-16;12,4 €/m2;1,50%;2,60%;7,00%
mar-16;12,2 €/m2;0,60%;1,90%;5,40%
feb-16;12,1 €/m2;0,40%;0,70%;5,30%
ene-16;12,1 €/m2;0,90%;0,20%;5,60%
dic-15;12,0 €/m2;-0,60%;-0,30%;4,60%
