Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
feb-24;23,1 €/m2;2,10%;5,80%;12,80%
ene-24;22,6 €/m2;2,30%;6,70%;12,10%
dic-23;22,1 €/m2;1,30%;7,30%;13,20%
nov-23;21,8 €/m2;3,10%;7,50%;14,30%
oct-23;21,2 €/m2;2,80%;5,90%;12,50%
sep-23;20,6 €/m2;1,40%;2,40%;10,90%
ago-23;20,3 €/m2;1,50%;0,30%;10,70%
jul-23;20,0 €/m2;-0,50%;0,00%;10,70%
jun-23;20,1 €/m2;-0,70%;0,50%;11,80%
may-23;20,2 €/m2;1,20%;-1,10%;13,30%
abr-23;20,0 €/m2;0,00%;-0,80%;12,20%
mar-23;20,0 €/m2;-2,30%;2,40%;12,70%
feb-23;20,5 €/m2;1,50%;7,20%;16,00%
ene-23;20,2 €/m2;3,20%;7,10%;16,50%
dic-22;19,5 €/m2;2,30%;5,20%;13,90%
nov-22;19,1 €/m2;1,40%;4,10%;12,30%
oct-22;18,8 €/m2;1,30%;4,20%;11,70%
sep-22;18,6 €/m2;1,30%;3,30%;11,60%
ago-22;18,3 €/m2;1,50%;2,60%;12,80%
jul-22;18,1 €/m2;0,50%;1,30%;12,30%
jun-22;18,0 €/m2;0,60%;1,30%;12,30%
may-22;17,9 €/m2;0,20%;1,20%;11,60%
abr-22;17,8 €/m2;0,50%;3,00%;11,40%
mar-22;17,7 €/m2;0,60%;3,50%;9,60%
feb-22;17,6 €/m2;2,00%;3,80%;8,60%
ene-22;17,3 €/m2;1,00%;2,70%;6,50%
dic-21;17,1 €/m2;0,80%;3,00%;3,60%
nov-21;17,0 €/m2;0,90%;4,60%;0,00%
oct-21;16,8 €/m2;1,30%;4,70%;-3,00%
sep-21;16,6 €/m2;2,40%;3,90%;-5,90%
ago-21;16,3 €/m2;1,00%;1,60%;-8,70%
jul-21;16,1 €/m2;0,50%;0,60%;-10,60%
jun-21;16,0 €/m2;0,00%;-1,10%;-13,50%
may-21;16,0 €/m2;0,00%;-1,50%;-16,80%
abr-21;16,0 €/m2;-1,20%;-1,50%;-16,40%
mar-21;16,2 €/m2;-0,40%;-2,20%;-14,80%
feb-21;16,2 €/m2;0,00%;-4,40%;-14,50%
ene-21;16,2 €/m2;-1,80%;-6,40%;-13,30%
dic-20;16,5 €/m2;-2,60%;-6,40%;-10,60%
nov-20;17,0 €/m2;-2,10%;-4,50%;-8,80%
oct-20;17,4 €/m2;-1,80%;-3,50%;-6,60%
sep-20;17,7 €/m2;-0,60%;-4,40%;-4,10%
ago-20;17,8 €/m2;-1,20%;-7,50%;-2,90%
jul-20;18,0 €/m2;-2,70%;-6,00%;-1,30%
jun-20;18,5 €/m2;-3,80%;-2,60%;1,80%
may-20;19,2 €/m2;0,50%;1,20%;5,80%
abr-20;19,1 €/m2;0,80%;2,10%;4,90%
mar-20;19,0 €/m2;0,00%;2,60%;4,80%
feb-20;19,0 €/m2;1,30%;2,00%;4,50%
ene-20;18,7 €/m2;1,30%;0,80%;4,20%
dic-19;18,5 €/m2;-0,60%;0,40%;2,90%
nov-19;18,6 €/m2;0,20%;1,70%;2,20%
oct-19;18,6 €/m2;0,90%;2,00%;1,50%
sep-19;18,4 €/m2;0,60%;1,50%;0,70%
ago-19;18,3 €/m2;0,50%;0,80%;0,30%
jul-19;18,2 €/m2;0,40%;0,00%;0,20%
jun-19;18,2 €/m2;0,00%;0,20%;-0,80%
may-19;18,2 €/m2;-0,40%;-0,10%;-0,90%
abr-19;18,2 €/m2;0,70%;1,40%;-1,70%
mar-19;18,1 €/m2;-0,30%;0,80%;-1,80%
feb-19;18,2 €/m2;1,10%;-0,30%;-0,40%
ene-19;18,0 €/m2;0,00%;-1,80%;0,00%
dic-18;18,0 €/m2;-1,40%;-1,80%;1,50%
nov-18;18,2 €/m2;-0,50%;-0,20%;3,10%
oct-18;18,3 €/m2;0,00%;0,60%;5,00%
sep-18;18,3 €/m2;0,20%;0,00%;5,90%
ago-18;18,3 €/m2;0,40%;-0,30%;6,60%
jul-18;18,2 €/m2;-0,60%;-1,90%;5,50%
