Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
feb-24;13,7 €/m2;0,10%;3,00%;15,50%
ene-24;13,7 €/m2;0,90%;5,00%;15,60%
dic-23;13,6 €/m2;2,00%;5,70%;14,50%
nov-23;13,3 €/m2;2,10%;3,60%;15,20%
oct-23;13,0 €/m2;1,60%;2,10%;17,40%
sep-23;12,8 €/m2;-0,10%;3,40%;17,90%
ago-23;12,8 €/m2;0,60%;3,40%;20,20%
jul-23;12,8 €/m2;2,90%;3,10%;21,20%
jun-23;12,4 €/m2;0,00%;4,40%;19,10%
may-23;12,4 €/m2;0,20%;4,50%;21,40%
abr-23;12,4 €/m2;4,20%;4,60%;24,40%
mar-23;11,9 €/m2;0,10%;0,40%;19,40%
feb-23;11,9 €/m2;0,30%;2,80%;19,60%
ene-23;11,8 €/m2;0,00%;6,60%;19,40%
dic-22;11,8 €/m2;2,60%;8,80%;19,30%
nov-22;11,5 €/m2;4,00%;8,20%;16,40%
oct-22;11,1 €/m2;2,00%;5,40%;16,30%
sep-22;10,9 €/m2;1,90%;4,50%;15,80%
ago-22;10,7 €/m2;1,40%;4,40%;13,40%
jul-22;10,5 €/m2;1,10%;5,80%;11,80%
jun-22;10,4 €/m2;1,90%;4,60%;10,90%
may-22;10,2 €/m2;2,70%;3,00%;9,20%
abr-22;10,0 €/m2;0,00%;0,40%;6,30%
mar-22;10,0 €/m2;0,30%;0,30%;6,10%
feb-22;9,9 €/m2;0,10%;0,00%;5,20%
ene-22;9,9 €/m2;-0,10%;3,90%;3,90%
dic-21;9,9 €/m2;0,00%;5,60%;1,80%
nov-21;9,9 €/m2;3,90%;5,40%;0,00%
oct-21;9,5 €/m2;1,60%;1,40%;-3,80%
sep-21;9,4 €/m2;-0,10%;0,00%;-5,20%
ago-21;9,4 €/m2;-0,10%;0,60%;-5,00%
jul-21;9,4 €/m2;0,20%;0,60%;-5,80%
jun-21;9,4 €/m2;0,40%;0,10%;-8,10%
may-21;9,4 €/m2;-0,10%;-0,80%;-8,10%
abr-21;9,4 €/m2;-0,20%;-1,80%;-6,60%
mar-21;9,4 €/m2;-0,50%;-3,70%;-6,30%
feb-21;9,4 €/m2;-1,10%;-5,00%;-6,60%
ene-21;9,5 €/m2;-2,10%;-3,80%;-6,80%
dic-20;9,7 €/m2;-1,80%;-1,70%;-5,60%
nov-20;9,9 €/m2;0,10%;0,20%;-3,80%
oct-20;9,9 €/m2;0,00%;-0,80%;-2,90%
sep-20;9,9 €/m2;0,10%;-3,00%;0,30%
ago-20;9,9 €/m2;-0,90%;-2,70%;0,40%
jul-20;10,0 €/m2;-2,20%;-0,30%;1,20%
jun-20;10,2 €/m2;0,40%;2,10%;3,40%
may-20;10,2 €/m2;1,60%;0,90%;2,90%
abr-20;10,0 €/m2;0,20%;-2,00%;1,40%
mar-20;10,0 €/m2;-0,80%;-3,00%;1,50%
feb-20;10,1 €/m2;-1,40%;-2,20%;2,60%
ene-20;10,2 €/m2;-0,80%;0,10%;4,40%
dic-19;10,3 €/m2;0,00%;4,40%;5,20%
nov-19;10,3 €/m2;1,00%;4,60%;4,80%
oct-19;10,2 €/m2;3,40%;3,50%;5,60%
