Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
feb-24;11,1 €/m2;1,10%;2,50%;17,10%
ene-24;11,0 €/m2;1,30%;1,20%;17,30%
dic-23;10,8 €/m2;0,00%;1,20%;16,80%
nov-23;10,8 €/m2;-0,10%;1,40%;18,00%
oct-23;10,8 €/m2;1,30%;3,50%;17,80%
sep-23;10,7 €/m2;0,20%;4,50%;16,60%
ago-23;10,7 €/m2;2,00%;7,50%;17,20%
jul-23;10,5 €/m2;2,30%;7,00%;16,80%
jun-23;10,2 €/m2;3,10%;6,70%;16,60%
may-23;9,9 €/m2;1,40%;4,80%;16,60%
abr-23;9,8 €/m2;2,00%;4,70%;16,50%
mar-23;9,6 €/m2;1,30%;3,50%;15,00%
feb-23;9,5 €/m2;1,30%;3,30%;14,30%
ene-23;9,3 €/m2;0,80%;1,60%;13,90%
dic-22;9,3 €/m2;1,10%;1,00%;14,40%
nov-22;9,2 €/m2;-0,30%;0,70%;13,30%
oct-22;9,2 €/m2;0,20%;2,60%;12,80%
sep-22;9,2 €/m2;0,70%;4,50%;12,50%
ago-22;9,1 €/m2;1,60%;7,00%;11,80%
jul-22;9,0 €/m2;2,10%;6,70%;10,20%
jun-22;8,8 €/m2;3,10%;5,20%;8,80%
may-22;8,5 €/m2;1,30%;2,80%;6,00%
abr-22;8,4 €/m2;0,70%;2,40%;5,20%
mar-22;8,3 €/m2;0,70%;2,90%;4,50%
feb-22;8,3 €/m2;1,00%;2,30%;3,60%
ene-22;8,2 €/m2;1,20%;0,60%;2,00%
dic-21;8,1 €/m2;0,10%;-0,60%;0,10%
nov-21;8,1 €/m2;-0,70%;-0,60%;-0,90%
oct-21;8,1 €/m2;0,00%;0,20%;-0,40%
sep-21;8,1 €/m2;0,10%;1,10%;-0,10%
ago-21;8,1 €/m2;0,20%;1,50%;-0,50%
jul-21;8,1 €/m2;0,80%;1,90%;-1,60%
jun-21;8,1 €/m2;0,50%;1,10%;-3,00%
may-21;8,0 €/m2;0,50%;0,40%;-2,20%
abr-21;8,0 €/m2;0,10%;-0,70%;-1,30%
mar-21;8,0 €/m2;-0,30%;-1,40%;0,20%
feb-21;8,0 €/m2;-0,50%;-2,10%;1,30%
ene-21;8,0 €/m2;-0,60%;-1,80%;2,40%
dic-20;8,1 €/m2;-1,00%;-0,90%;3,20%
nov-20;8,2 €/m2;-0,20%;-0,20%;3,90%
oct-20;8,2 €/m2;0,30%;-1,00%;3,00%
sep-20;8,2 €/m2;-0,30%;-1,90%;3,00%
ago-20;8,2 €/m2;-1,00%;-0,20%;3,60%
jul-20;8,3 €/m2;-0,60%;2,20%;5,50%
jun-20;8,3 €/m2;1,30%;4,40%;7,50%
may-20;8,2 €/m2;1,40%;4,00%;9,80%
abr-20;8,1 €/m2;1,60%;3,10%;9,60%
mar-20;8,0 €/m2;0,90%;1,60%;9,20%
feb-20;7,9 €/m2;0,50%;0,30%;10,10%
ene-20;7,8 €/m2;0,10%;-1,20%;9,50%
dic-19;7,8 €/m2;-0,30%;-1,00%;8,10%
nov-19;7,9 €/m2;-1,00%;-0,40%;8,00%
oct-19;7,9 €/m2;0,30%;1,50%;9,20%
sep-19;7,9 €/m2;0,30%;2,50%;10,00%
ago-19;7,9 €/m2;0,90%;5,70%;9,60%
jul-19;7,8 €/m2;1,30%;6,10%;9,50%
jun-19;7,7 €/m2;3,40%;6,00%;9,90%
may-19;7,5 €/m2;1,30%;4,30%;8,50%
abr-19;7,4 €/m2;1,20%;3,00%;7,90%
mar-19;7,3 €/m2;1,80%;0,50%;8,90%
feb-19;7,2 €/m2;0,00%;-1,60%;8,40%
ene-19;7,2 €/m2;-1,20%;-1,50%;10,60%
dic-18;7,3 €/m2;-0,40%;0,70%;12,70%
nov-18;7,3 €/m2;0,10%;1,00%;13,50%
oct-18;7,3 €/m2;1,00%;1,70%;13,80%
sep-18;7,2 €/m2;-0,10%;2,40%;13,70%
ago-18;7,2 €/m2;0,80%;4,60%;14,40%
jul-18;7,1 €/m2;1,70%;4,60%;13,90%
jun-18;7,0 €/m2;2,10%;5,00%;12,80%
may-18;6,9 €/m2;0,70%;4,10%;13,10%
abr-18;6,8 €/m2;2,10%;5,50%;13,80%
mar-18;6,7 €/m2;1,30%;4,00%;11,90%
feb-18;6,6 €/m2;2,00%;3,10%;10,90%
ene-18;6,5 €/m2;0,70%;1,40%;9,40%
dic-17;6,4 €/m2;0,30%;1,70%;9,60%
nov-17;6,4 €/m2;0,40%;1,80%;8,20%
oct-17;6,4 €/m2;0,90%;1,80%;7,30%
sep-17;6,3 €/m2;0,50%;1,60%;6,80%
ago-17;6,3 €/m2;0,40%;3,50%;6,80%
jul-17;6,3 €/m2;0,70%;4,50%;7,90%
jun-17;6,2 €/m2;2,40%;4,20%;8,70%
may-17;6,1 €/m2;1,40%;2,10%;7,10%
