Modalidad: Nivel 1;Modalidad: Nivel 2;Periodo;Índice;Tasa de variación interanual
Total apartamentos;;2023M12;160,44;11,94
Total apartamentos;;2023M11;158,27;9,59
Total apartamentos;;2023M10;155,84;8,41
Total apartamentos;;2023M09;169,4;8,4
Total apartamentos;;2023M08;196,86;4,62
Total apartamentos;;2023M07;197,8;6,81
Total apartamentos;;2023M06;175,43;9,33
Total apartamentos;;2023M05;206,33;10,38
Total apartamentos;;2023M04;170,23;8,39
Total apartamentos;;2023M03;141,55;9,55
Total apartamentos;;2023M02;143,95;9,37
Total apartamentos;;2023M01;136,93;8,62
Total apartamentos;;2022M12;143,33;6,53
Total apartamentos;;2022M11;144,41;7,09
Total apartamentos;;2022M10;143,76;9,03
Total apartamentos;;2022M09;156,27;9,41
Total apartamentos;;2022M08;188,17;12,44
Total apartamentos;;2022M07;185,19;11,41
Total apartamentos;;2022M06;160,47;12,16
Total apartamentos;;2022M05;186,92;12,6
Total apartamentos;;2022M04;157,06;13,4
Total apartamentos;;2022M03;129,2;11,8
Total apartamentos;;2022M02;131,62;14,93
Total apartamentos;;2022M01;126,06;7,64
Total apartamentos;;2021M12;134,54;10,9
Total apartamentos;;2021M11;134,85;13,24
Total apartamentos;;2021M10;131,85;14,56
Total apartamentos;;2021M09;142,83;11,6
Total apartamentos;;2021M08;167,35;8,11
Total apartamentos;;2021M07;166,23;8,29
Total apartamentos;;2021M06;143,08;3,6
Total apartamentos;;2021M05;166,01;4,34
Total apartamentos;;2021M04;138,5;5,08
Total apartamentos;;2021M03;115,57;-10,68
Total apartamentos;;2021M02;114,52;-16,79
Total apartamentos;;2021M01;117,12;-13,48
Total apartamentos;;2020M12;121,32;-12,2
Total apartamentos;;2020M11;119,08;-12,34
Total apartamentos;;2020M10;115,09;-14,62
Total apartamentos;;2020M09;127,99;-11,26
Total apartamentos;;2020M08;154,79;-9,13
Total apartamentos;;2020M07;153,5;-7,53
Total apartamentos;;2020M06;138,11;-8,21
Total apartamentos;;2020M05;134,95;-6,54
Total apartamentos;;2020M04;131,8;-4,35
Total apartamentos;;2020M03;129,39;1,94
Total apartamentos;;2020M02;137,63;1,55
Total apartamentos;;2020M01;135,37;1,38
Total apartamentos;;2019M12;138,18;0,6
Total apartamentos;;2019M11;135,84;0,95
Total apartamentos;;2019M10;134,8;2,11
Total apartamentos;;2019M09;144,24;0,68
Total apartamentos;;2019M08;170,34;2,07
Total apartamentos;;2019M07;165,99;0,78
Total apartamentos;;2019M06;150,46;1,03
Total apartamentos;;2019M05;137,64;-0,36
Total apartamentos;;2019M04;131,8;3,12
Total apartamentos;;2019M03;126,93;-0,1
Total apartamentos;;2019M02;135,53;2,25
Total apartamentos;;2019M01;133,53;1,53
Total apartamentos;;2018M12;137,36;3,41
Total apartamentos;;2018M11;134,56;2,34
Total apartamentos;;2018M10;132,01;1,43
Total apartamentos;;2018M09;143,26;2,6
Total apartamentos;;2018M08;166,89;2,26
Total apartamentos;;2018M07;164,72;2,74
Total apartamentos;;2018M06;148,93;2,52
Total apartamentos;;2018M05;138,14;3,82
Total apartamentos;;2018M04;127,82;0,6
Total apartamentos;;2018M03;127,07;7,46
Total apartamentos;;2018M02;132,55;6,27
Total apartamentos;;2018M01;131,52;8,23
Total apartamentos;;2017M12;132,83;8,46
Total apartamentos;;2017M11;131,49;8,74
Total apartamentos;;2017M10;130,15;7,03
Total apartamentos;;2017M09;139,62;5,04
Total apartamentos;;2017M08;163,19;5,23
Total apartamentos;;2017M07;160,33;6,62
Total apartamentos;;2017M06;145,27;6,43
Total apartamentos;;2017M05;133,05;6,1
Total apartamentos;;2017M04;127,05;7,48
Total apartamentos;;2017M03;118,24;2,9
Total apartamentos;;2017M02;124,73;4,51
Total apartamentos;;2017M01;121,51;3,99
Total apartamentos;;2016M12;122,47;2,36
Total apartamentos;;2016M11;120,92;4,51
Total apartamentos;;2016M10;121,61;4
Total apartamentos;;2016M09;132,92;6,92
Total apartamentos;;2016M08;155,08;5,54
Total apartamentos;;2016M07;150,37;5,97
Total apartamentos;;2016M06;136,5;5,32
Total apartamentos;;2016M05;125,4;4,95
Total apartamentos;;2016M04;118,21;3,56
Total apartamentos;;2016M03;114,91;5,98
Total apartamentos;;2016M02;119,34;5,27
Total apartamentos;;2016M01;116,85;5,2
Total apartamentos;;2015M12;119,64;4,78
Total apartamentos;;2015M11;115,71;4,38
Total apartamentos;;2015M10;116,93;5,29
Total apartamentos;;2015M09;124,31;3,61
Total apartamentos;;2015M08;146,93;2,52
Total apartamentos;;2015M07;141,9;3,09
Total apartamentos;;2015M06;129,61;4,71
Total apartamentos;;2015M05;119,49;6,23
Total apartamentos;;2015M04;114,15;3,17
Total apartamentos;;2015M03;108,43;3,78
Total apartamentos;;2015M02;113,37;4,47
Total apartamentos;;2015M01;111,07;6,36
Total apartamentos;;2014M12;114,18;3,91
Total apartamentos;;2014M11;110,85;3,87
Total apartamentos;;2014M10;111,05;3,84
Total apartamentos;;2014M09;119,98;4,39
Total apartamentos;;2014M08;143,32;5,4
Total apartamentos;;2014M07;137,65;4,43
Total apartamentos;;2014M06;123,78;4,91
Total apartamentos;;2014M05;112,48;3,77
Total apartamentos;;2014M04;110,64;4,92
Total apartamentos;;2014M03;104,48;0,93
Total apartamentos;;2014M02;108,51;1,27
Total apartamentos;;2014M01;104,43;-0,43
